eta;maschi_totale;femmine_totale;totale;stranieri_maschi;stranieri_femmine;stranieri_totale;percentuale_stranieri
0;25;13;38;0;1;1;2.6
1;21;20;41;0;0;0;0.0
2;19;21;40;0;0;0;0.0
3;25;17;42;0;0;0;0.0
4;14;19;33;0;0;0;0.0
5;21;20;41;0;0;0;0.0
6;24;28;52;1;1;2;3.8
7;28;15;43;0;1;1;2.3
8;16;26;42;0;1;1;2.4
9;23;25;48;1;1;2;4.2
10;22;21;43;0;0;0;0.0
11;27;24;51;0;0;0;0.0
12;19;17;36;0;0;0;0.0
13;27;43;70;0;0;0;0.0
14;19;18;37;0;0;0;0.0
15;25;23;48;0;0;0;0.0
16;31;20;51;0;0;0;0.0
17;42;36;78;0;0;0;0.0
18;31;22;53;0;0;0;0.0
