anno_riferimento;iscritti_da_altri_comuni;iscritti_da_estero;iscritti_altri;cancellati_per_altri_comuni;cancellati_per_estero;cancellati_altri;saldo_migratorio_estero;saldo_migratorio_totale
2002;59;3;0;140;14;0;-11;-92
2003;44;14;0;156;5;0;9;-103
2004;51;6;6;118;7;2;-1;-64
2005;40;6;0;148;5;0;1;-107
2006;47;4;7;97;2;0;2;-41
2007;30;21;0;134;0;0;21;-83
2008;63;11;0;103;13;0;-2;-42
2009;47;12;3;88;6;1;6;-33
2010;51;7;1;121;0;0;7;-62
2011 (¹);38;8;0;86;2;0;6;-42
2011 (²);14;1;0;34;0;0;1;-19
2011 (³);52;9;0;120;2;0;7;-61
2012;56;10;0;144;2;0;8;-80
2013;58;10;35;108;4;19;6;-28
2014;51;2;1;71;9;0;-7;-26
2015;33;5;3;66;3;0;2;-28
2016;48;10;1;109;8;0;2;-58
2017;34;7;11;83;2;0;5;-33
2018*;41;2;0;106;13;0;-11;-76
2019*;58;5;0;97;14;1;-9;-49
2020*;35;5;1;93;2;0;3;-54
2021*;37;4;1;99;3;0;1;-60
2022*;33;6;0;84;2;0;4;-47
2023*;44;6;0;93;6;0;0;-49
2024*;45;6;0;97;11;0;-5;-57
