anno;indice_vecchiaia;indice_dipendenza_strutturale;indice_ricambio_popolazione_attiva;indice_struttura_popolazione_attiva;carico_figli_donna_feconda;tasso_natalita_per_mille;tasso_mortalita_per_mille
2002;126.4;57.6;74.7;75.9;18.8;8.3;8.8
2003;136.8;56.7;71.4;78.8;18.9;8.1;10.3
2004;144.2;56.3;69.6;80.9;19.0;11.0;12.0
2005;147.4;57.5;66.0;81.8;19.0;9.5;11.4
2006;153.0;57.5;64.1;85.2;18.8;9.5;11.1
2007;160.6;56.6;66.5;87.1;18.9;11.1;10.3
2008;162.4;56.2;75.1;91.7;20.8;9.1;11.6
2009;165.1;56.2;84.1;94.3;21.6;9.4;12.2
2010;165.7;55.4;89.4;97.9;20.6;7.0;10.7
2011;168.2;54.7;102.1;101.2;19.6;11.3;11.0
2012;170.4;55.2;109.9;104.7;21.3;7.4;13.1
2013;169.5;55.7;118.1;108.5;19.9;8.7;10.6
2014;169.9;56.7;126.0;110.4;19.9;7.2;13.5
2015;174.6;56.4;127.3;112.3;19.5;8.0;12.2
2016;175.4;57.0;129.4;114.3;20.9;6.3;15.5
2017;178.5;57.6;141.5;119.0;18.4;7.2;11.3
2018;179.5;58.1;145.9;120.3;18.9;9.4;13.9
2019;178.1;59.3;150.0;125.1;19.4;7.6;15.1
2020;183.7;59.2;149.4;126.6;20.0;6.0;12.4
2021;189.4;59.7;152.3;129.5;19.2;6.8;16.8
2022;197.4;60.0;160.9;133.8;19.4;7.0;14.3
2023;210.0;59.6;150.7;134.3;19.2;7.9;14.1
2024;213.1;60.5;150.0;138.6;19.2;6.8;15.2
2025;222.1;62.0;157.5;142.4;19.3;;
