anno_riferimento;periodo_bilancio;nascite;variazione_nascite;decessi;variazione_decessi;saldo_naturale
2002;1 gen - 31 dic;62;;66;;-4
2003;1 gen - 31 dic;60;-2;76;10;-16
2004;1 gen - 31 dic;80;20;87;11;-7
2005;1 gen - 31 dic;68;-12;82;-5;-14
2006;1 gen - 31 dic;67;-1;79;-3;-12
2007;1 gen - 31 dic;78;11;72;-7;6
2008;1 gen - 31 dic;63;-15;81;9;-18
2009;1 gen - 31 dic;65;2;84;3;-19
2010;1 gen - 31 dic;48;-17;73;-11;-25
2011 (¹);1 gen - 8 ott;53;5;54;-19;-1
2011 (²);9 ott - 31 dic;23;-30;20;-34;3
2011 (³);1 gen - 31 dic;76;28;74;1;2
2012;1 gen - 31 dic;49;-27;87;13;-38
2013;1 gen - 31 dic;57;8;70;-17;-13
2014;1 gen - 31 dic;47;-10;88;18;-41
2015;1 gen - 31 dic;52;5;79;-9;-27
2016;1 gen - 31 dic;40;-12;99;20;-59
2017;1 gen - 31 dic;45;5;71;-28;-26
2018*;1 gen - 31 dic;58;13;86;15;-28
2019*;1 gen - 31 dic;46;-12;92;6;-46
2020*;1 gen - 31 dic;36;-10;74;-18;-38
2021*;1 gen - 31 dic;40;4;98;24;-58
2022*;1 gen - 31 dic;40;0;82;-16;-42
2023*;1 gen - 31 dic;45;5;80;-2;-35
2024*;1 gen - 31 dic;38;-7;85;5;-47
