anno;automobili;motocicli;autobus;trasporto_merci;veicoli_speciali;trattori_e_altri;totale_parco_veicolare;auto_per_mille_abitanti
2004;3999;211;34;461;25;0;4730;553
2004;431;27;3;20;1;4;0;0
2004;3999;211;34;461;25;0;4730;553
2004;431;27;3;20;1;4;0;0
2005;4126;224;33;491;32;0;4906;580
2005;461;27;3;23;5;4;0;0
2005;4126;224;33;491;32;0;4906;580
2005;461;27;3;23;5;4;0;0
2006;4210;231;32;526;44;0;5043;596
2006;498;25;3;27;13;4;0;0
2006;4210;231;32;526;44;0;5043;596
2006;498;25;3;27;13;4;0;0
2007;4312;245;37;556;44;0;5194;617
2007;530;23;3;25;15;4;0;0
2007;4312;245;37;556;44;0;5194;617
2007;530;23;3;25;15;4;0;0
2008;4359;259;38;581;45;0;5282;630
2008;554;24;3;24;17;4;0;0
2008;4359;259;38;581;45;0;5282;630
2008;554;24;3;24;17;4;0;0
2009;4410;273;40;628;46;0;5397;642
2009;603;23;2;26;20;0;0;0
2009;4410;273;40;628;46;0;5397;642
2009;603;23;2;26;20;0;0;0
2010;4434;282;40;658;48;0;5462;654
2010;631;25;2;28;20;0;0;0
2010;4434;282;40;658;48;0;5462;654
2010;631;25;2;28;20;0;0;0
2011;4460;287;40;675;51;0;5513;664
2011;649;24;2;30;21;0;0;0
2011;4460;287;40;675;51;0;5513;664
2011;649;24;2;30;21;0;0;0
2012;4449;287;38;697;51;0;5522;674
2012;672;23;2;29;22;0;0;0
2012;4449;287;38;697;51;0;5522;674
2012;672;23;2;29;22;0;0;0
2013;4431;296;38;710;50;0;5525;676
2013;685;23;2;29;21;0;0;0
2013;4431;296;38;710;50;0;5525;676
2013;685;23;2;29;21;0;0;0
2014;4464;309;38;704;50;0;5565;688
2014;679;23;2;29;21;0;0;0
2014;4464;309;38;704;50;0;5565;688
2014;679;23;2;29;21;0;0;0
2015;4481;302;39;721;53;0;5596;696
2015;696;23;2;30;23;0;0;0
2015;4481;302;39;721;53;0;5596;696
2015;696;23;2;30;23;0;0;0
2016;4563;302;38;730;52;0;5685;722
2016;706;23;1;30;22;0;0;0
2016;4563;302;38;730;52;0;5685;722
2016;706;23;1;30;22;0;0;0
