fascia_eta;maschi;femmine;celibi_nubili;coniugati;vedovi;divorziati;totale
0-4;104;90;194;0;0;0;194
5-9;112;114;226;0;0;0;226
10-14;114;123;237;0;0;0;237
15-19;160;127;287;0;0;0;287
20-24;133;117;242;8;0;0;250
25-29;130;119;207;42;0;0;249
30-34;145;140;178;106;0;1;285
35-39;179;159;169;160;2;7;338
40-44;180;189;139;222;0;8;369
45-49;214;152;126;224;2;14;366
50-54;182;201;102;265;5;11;383
55-59;221;215;104;296;24;12;436
60-64;226;226;82;329;33;8;452
65-69;179;205;76;265;37;6;384
70-74;158;179;41;227;62;7;337
75-79;116;142;25;149;82;2;258
80-84;81;118;17;111;70;1;199
85-89;66;99;8;65;91;1;165
90-94;34;58;3;29;60;0;92
95-99;5;18;2;2;19;0;23
100+;0;1;0;0;1;0;1
