anno_riferimento;data_rilevamento;popolazione_residente;variazione_assoluta;variazione_percentuale;numero_famiglie;media_componenti_famiglia
2001;31 dic;7521;;;;
2002;31 dic;7425;-96;-1.28;;
2003;31 dic;7306;-119;-1.6;2837;2.58
2004;31 dic;7235;-71;-0.97;2878;2.51
2005;31 dic;7114;-121;-1.67;2917;2.44
2006;31 dic;7061;-53;-0.75;2943;2.4
2007;31 dic;6984;-77;-1.09;2925;2.39
2008;31 dic;6924;-60;-0.86;2975;2.33
2009;31 dic;6872;-52;-0.75;2984;2.3
2010;31 dic;6785;-87;-1.27;2988;2.27
2011 (¹);8 ott;6742;-43;-0.63;3011;2.24
2011 (²);9 ott;6732;-10;-0.15;;
2011 (³);31 dic;6716;-69;-1.02;3007;2.23
2012;31 dic;6598;-118;-1.76;2939;2.24
2013;31 dic;6557;-41;-0.62;2908;2.25
2014;31 dic;6490;-67;-1.02;2860;2.27
2015;31 dic;6435;-55;-0.85;2810;2.29
2016;31 dic;6318;-117;-1.82;2755;2.29
2017;31 dic;6259;-59;-0.93;2721;2.3
2018*;31 dic;6138;-121;-1.93;2657;2.31
2019*;31 dic;6044;-94;-1.53;2636;2.29
2020*;31 dic;5908;-136;-2.25;2598;2.27
2021*;31 dic;5792;-116;-1.96;2573;2.25
2022*;31 dic;5709;-83;-1.43;2547;2.24
2023*;31 dic;5630;-79;-1.38;2524;2.23
2024*;31 dic;5531;-99;-1.76;2480;2.23
