continente;paese;area_geografica;maschi;femmine;totale;percentuale_su_stranieri
Europa;Romania;Unione Europea;4;24;28;44.44
Europa;Germania;Unione Europea;1;2;3;4.76
Europa;Malta;Unione Europea;1;2;3;4.76
Europa;Ucraina;Europa centro orientale;0;3;3;4.76
Europa;Albania;Europa centro orientale;0;1;1;1.59
Europa;Paesi Bassi;Unione Europea;0;1;1;1.59
Europa;Polonia;Unione Europea;0;1;1;1.59
Europa;Ungheria;Unione Europea;0;1;1;1.59
Europa;Federazione Russa;Europa centro orientale;0;1;1;1.59
Asia;Repubblica Popolare Cinese;Asia orientale;4;4;8;12.7
Asia;India;Asia centro meridionale;1;1;2;3.17
Asia;Nepal;Asia centro meridionale;0;2;2;3.17
America;Guatemala;America centro meridionale;0;3;3;4.76
America;Stati Uniti d'America;America settentrionale;0;2;2;3.17
Africa;Marocco;Africa settentrionale;1;2;3;4.76
Africa;Tunisia;Africa settentrionale;1;0;1;1.59
