anno;popolazione_0_14;popolazione_15_64;popolazione_65_oltre;totale_residenti;eta_media
2002;1214;4773;1534;7521;40.8
2003;1135;4737;1553;7425;41.4
2004;1078;4673;1555;7306;41.9
2005;1067;4595;1573;7235;42.1
2006;1026;4518;1570;7114;42.5
2007;979;4510;1572;7061;42.8
2008;958;4470;1556;6984;43.1
2009;940;4432;1552;6924;43.4
2010;922;4422;1528;6872;43.5
2011;894;4387;1504;6785;43.9
2012;883;4328;1505;6716;44.1
2013;876;4237;1485;6598;44.3
2014;879;4185;1493;6557;44.6
2015;852;4150;1488;6490;44.8
2016;848;4100;1487;6435;45.1
2017;829;4009;1480;6318;45.4
2018;823;3959;1477;6259;45.6
2019*;822;3852;1464;6138;45.9
2020*;792;3797;1455;6044;46.0
2021*;763;3700;1445;5908;46.4
2022*;730;3621;1441;5792;46.8
2023*;688;3576;1445;5709;47.1
2024*;678;3507;1445;5630;47.3
2025*;657;3415;1459;5531;47.5
